Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Metered Actual (MW),Diff (MW),Abs Diff (MW),Diff % of System,System vs Metered (MW),Vedanjay vs Metered (MW)
71,17:30,2.088,1.880,2.636,-0.208,0.208,-9.96,-0.548,-0.756
72,17:45,0.744,0.790,1.476,0.046,0.046,6.18,-0.732,-0.686
73,18:00,0.041,0.000,0.669,-0.041,0.041,-100.00,-0.628,-0.669
74,18:15,0.000,0.000,0.159,0.000,0.000,,-0.159,-0.159
75,18:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
76,18:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
77,19:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
78,19:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
79,19:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
80,19:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
81,20:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
82,20:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
83,20:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
84,20:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
85,21:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
86,21:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
87,21:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
88,21:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
89,22:00,0.000,0.000,,0.000,0.000,,,
90,22:15,0.000,0.000,,0.000,0.000,,,
91,22:30,0.000,0.000,,0.000,0.000,,,
92,22:45,0.000,0.000,,0.000,0.000,,,
93,23:00,0.000,0.000,,0.000,0.000,,,
94,23:15,0.000,0.000,,0.000,0.000,,,
95,23:30,0.000,0.000,,0.000,0.000,,,
96,23:45,0.000,0.000,,0.000,0.000,,,
