block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
23,2026-03-12 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-12 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-12 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-12 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-12 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
28,2026-03-12 06:45:00,0.0,PRE_START,0.0,0.0,0.01,0.008,0.008
29,2026-03-12 07:00:00,0.0,PRE_START,0.0,0.0,0.24,0.192,0.192
30,2026-03-12 07:15:00,0.277,CONDITION_3,0.277,0.277,0.48,0.384,0.384
31,2026-03-12 07:30:00,0.433,CONDITION_3,0.433,0.433,0.75,0.6,0.6
32,2026-03-12 07:45:00,0.607,CONDITION_3,0.59,0.59,1.02,0.816,0.816
33,2026-03-12 08:00:00,0.889,CONDITION_3,0.884,0.884,1.3,1.04,1.04
34,2026-03-12 08:15:00,1.084,CONDITION_3,1.074,1.074,1.58,1.264,1.264
35,2026-03-12 08:30:00,1.276,CONDITION_3,1.265,1.265,1.86,1.488,1.488
36,2026-03-12 08:45:00,1.454,CONDITION_3,1.442,1.442,2.12,1.696,1.696
37,2026-03-12 09:00:00,1.652,CONDITION_3,1.625,1.625,2.39,1.912,1.912
38,2026-03-12 09:15:00,1.832,CONDITION_3,1.802,1.802,2.65,2.12,2.12
39,2026-03-12 09:30:00,1.991,CONDITION_3,1.958,1.958,2.88,2.304,2.304
40,2026-03-12 09:45:00,2.143,CONDITION_3,2.108,2.108,3.1,2.48,2.48
41,2026-03-12 10:00:00,2.281,CONDITION_3,2.244,2.244,3.3,2.64,2.64
42,2026-03-12 10:15:00,2.399,CONDITION_3,2.36,2.36,3.47,2.776,2.776
43,2026-03-12 10:30:00,2.515,CONDITION_3,2.462,2.462,3.62,2.896,2.896
44,2026-03-12 10:45:00,2.606,CONDITION_3,2.55,2.55,3.75,3.0,3.0
45,2026-03-12 11:00:00,2.682,CONDITION_3,2.625,2.625,3.86,3.088,3.088
46,2026-03-12 11:15:00,2.752,CONDITION_3,2.693,2.693,3.96,3.168,3.168
47,2026-03-12 11:30:00,2.807,CONDITION_3,2.747,2.747,4.04,3.232,3.232
48,2026-03-12 11:45:00,2.856,CONDITION_3,2.795,2.795,4.11,3.288,3.288
49,2026-03-12 12:00:00,2.89,CONDITION_3,2.829,2.829,4.16,3.328,3.328
50,2026-03-12 12:15:00,2.877,CONDITION_3,2.836,2.836,4.17,3.336,3.336
51,2026-03-12 12:30:00,2.87,CONDITION_3,2.849,2.849,4.19,3.352,3.352
52,2026-03-12 12:45:00,2.849,CONDITION_3,2.849,2.849,4.19,3.352,3.352
53,2026-03-12 13:00:00,2.829,CONDITION_3,2.829,2.829,4.16,3.328,3.328
54,2026-03-12 13:15:00,2.788,CONDITION_3,2.788,2.788,4.1,3.28,3.28
55,2026-03-12 13:30:00,2.72,CONDITION_3,2.74,2.74,4.03,3.224,3.224
56,2026-03-12 13:45:00,2.669,CONDITION_3,2.686,2.686,3.95,3.16,3.16
57,2026-03-12 14:00:00,2.579,CONDITION_3,2.611,2.611,3.84,3.072,3.072
58,2026-03-12 14:15:00,2.482,CONDITION_3,2.53,2.53,3.72,2.976,2.976
59,2026-03-12 14:30:00,2.389,CONDITION_3,2.434,2.434,3.58,2.864,2.864
60,2026-03-12 14:45:00,2.282,CONDITION_3,2.326,2.326,3.42,2.736,2.736
61,2026-03-12 15:00:00,2.169,CONDITION_3,2.21,2.21,3.25,2.6,2.6
62,2026-03-12 15:15:00,2.049,CONDITION_3,2.088,2.088,3.07,2.456,2.456
63,2026-03-12 15:30:00,1.917,CONDITION_3,1.945,1.945,2.86,2.288,2.288
64,2026-03-12 15:45:00,1.776,CONDITION_3,1.802,1.802,2.65,2.12,2.12
65,2026-03-12 16:00:00,1.617,CONDITION_3,1.639,1.639,2.41,1.928,1.928
66,2026-03-12 16:15:00,1.436,CONDITION_3,1.455,1.455,2.14,1.712,1.712
67,2026-03-12 16:30:00,1.241,CONDITION_3,1.258,1.258,1.85,1.48,1.48
68,2026-03-12 16:45:00,1.046,CONDITION_3,1.061,1.061,1.56,1.248,1.248
69,2026-03-12 17:00:00,0.864,CONDITION_3,0.87,0.87,1.28,1.024,1.024
70,2026-03-12 17:15:00,0.682,CONDITION_3,0.687,0.687,1.01,0.808,0.808
71,2026-03-12 17:30:00,0.52,CONDITION_3,0.524,0.524,0.77,0.616,0.616
72,2026-03-12 17:45:00,0.365,CONDITION_3,0.367,0.367,0.54,0.432,0.432
73,2026-03-12 18:00:00,0.179,CONDITION_3,0.185,0.185,0.32,0.256,0.256
74,2026-03-12 18:15:00,0.073,CONDITION_3,0.075,0.075,0.13,0.104,0.104
75,2026-03-12 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0,0.0,0.0
76,2026-03-12 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-12 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-12 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-12 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
80,2026-03-12 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
81,2026-03-12 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
82,2026-03-12 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
83,2026-03-12 20:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
84,2026-03-12 20:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
85,2026-03-12 21:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
86,2026-03-12 21:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
87,2026-03-12 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
88,2026-03-12 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
89,2026-03-12 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
90,2026-03-12 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
91,2026-03-12 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
92,2026-03-12 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
93,2026-03-12 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
94,2026-03-12 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
95,2026-03-12 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
96,2026-03-12 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
